,timestamp,task,AD1-A,AD1-B,AD1-C,D03,D05,D07,D08,D09,D10,D12,D14,D15,I03,L04,L06,L09,L10,L11,L12,L13,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51
0,,"(3, nan)",2.79926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,1233527116.0,"(3, nan)",2.79926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,
2,1233527716.0,"(3, 0)",2.79926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,1,,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
3,1233528316.0,"(2, 2)",2.81457,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
4,1233528916.0,"(2, 2)",2.81457,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
5,1233537316.0,"(2, 2)",2.79825,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,OFF,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1233537916.0,"(2, 2)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,OFF,0.0,1.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1233538516.0,"(2, 2)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1233539116.0,"(nan, 3)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1233539716.0,"(nan, 3)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1233540316.0,"(nan, 3)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1233540916.0,"(nan, 3)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,1233542116.0,"(7, 7)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,1233542716.0,"(7, 7)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,1233543316.0,"(7, 7)",2.79848,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,1233543916.0,"(7, 7)",2.8134,0.0338286,0.037149,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,1233544516.0,"(7, 7)",2.81348,0.0371099,0.0455085,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,1233545116.0,"(7, 7)",2.79965,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,1233552316.0,"(8, nan)",2.79965,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,1233552916.0,"(8, nan)",2.79965,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,1233553516.0,"(8, nan)",2.79965,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,1233554116.0,"(8, nan)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,1233554716.0,"(8, nan)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,1233555316.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1233555916.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1233556516.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1233557116.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1233557716.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1233558316.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1233558916.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1233559516.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1233560116.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1233560716.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1233561316.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1233561916.0,"(8, 8)",2.80582,0.0371099,0.0455085,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,OFF,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
